Sequential:
Grana   -   Tezina
(0  -  77)	1
(0  -  282)	1
(0  -  335)	1
(0  -  538)	1
(0  -  615)	1
(0  -  690)	1
(0  -  697)	1
(0  -  758)	1
(0  -  766)	1
(0  -  821)	1
(0  -  1314)	1
(0  -  1332)	1
(0  -  1675)	1
(0  -  1788)	1
(0  -  1954)	1
(0  -  1972)	1
(0  -  1976)	1
(0  -  1982)	1
(0  -  2069)	1
(0  -  2368)	1
(0  -  2419)	1
(0  -  2539)	1
(0  -  2587)	1
(0  -  2753)	1
(0  -  3139)	1
(0  -  3151)	1
(0  -  3217)	1
(0  -  3378)	1
(0  -  3533)	1
(0  -  3635)	1
(0  -  3811)	1
(0  -  3846)	1
(0  -  3883)	1
(0  -  3960)	1
(0  -  4004)	1
(0  -  4162)	1
(0  -  4216)	1
(0  -  4232)	1
(0  -  4459)	1
(0  -  4557)	1
(0  -  4627)	1
(0  -  4940)	1
(77  -  49)	1
(49  -  97)	1
(49  -  210)	1
(49  -  325)	1
(49  -  402)	1
(49  -  569)	1
(49  -  609)	1
(49  -  662)	1
(49  -  724)	1
(49  -  779)	1
(49  -  906)	1
(49  -  947)	1
(49  -  974)	1
(49  -  1057)	1
(49  -  1137)	1
(49  -  1321)	1
(49  -  1331)	1
(49  -  1334)	1
(49  -  1529)	1
(49  -  1616)	1
(49  -  1642)	1
(49  -  2017)	1
(49  -  2024)	1
(49  -  2105)	1
(49  -  2289)	1
(49  -  2385)	1
(49  -  2408)	1
(49  -  2470)	1
(49  -  2676)	1
(49  -  2793)	1
(49  -  2880)	1
(49  -  2969)	1
(49  -  3208)	1
(49  -  3370)	1
(49  -  3681)	1
(49  -  3712)	1
(49  -  3734)	1
(49  -  3748)	1
(49  -  3788)	1
(49  -  3841)	1
(49  -  3903)	1
(49  -  3986)	1
(49  -  4160)	1
(49  -  4171)	1
(49  -  4299)	1
(49  -  4486)	1
(49  -  4523)	1
(49  -  4657)	1
(49  -  4735)	1
(49  -  4930)	1
(49  -  4995)	1
(77  -  205)	1
(77  -  362)	1
(77  -  393)	1
(77  -  523)	1
(77  -  654)	1
(77  -  680)	1
(77  -  803)	1
(77  -  932)	1
(77  -  995)	1
(77  -  1121)	1
(77  -  1125)	1
(77  -  1260)	1
(77  -  1289)	1
(77  -  1308)	1
(77  -  1379)	1
(77  -  1410)	1
(77  -  1440)	1
(77  -  1452)	1
(77  -  1535)	1
(77  -  1620)	1
(77  -  1671)	1
(77  -  1814)	1
(77  -  1830)	1
(77  -  2010)	1
(77  -  2075)	1
(77  -  2235)	1
(77  -  2394)	1
(77  -  2479)	1
(77  -  2665)	1
(77  -  2837)	1
(77  -  3422)	1
(77  -  3431)	1
(77  -  3492)	1
(77  -  3779)	1
(77  -  3783)	1
(77  -  3860)	1
(77  -  3915)	1
(77  -  4111)	1
(77  -  4179)	1
(77  -  4185)	1
(77  -  4186)	1
(77  -  4350)	1
(77  -  4397)	1
(77  -  4438)	1
(77  -  4478)	1
(77  -  4547)	1
(77  -  4689)	1
(77  -  4717)	1
(77  -  4720)	1
(77  -  4762)	1
(77  -  4833)	1
(97  -  17)	1
(17  -  3)	1
(3  -  66)	1
(3  -  360)	1
(3  -  610)	1
(3  -  704)	1
(3  -  765)	1
(3  -  972)	1
(3  -  1139)	1
(3  -  1175)	1
(3  -  1246)	1
(3  -  1255)	1
(3  -  1753)	1
(3  -  1763)	1
(3  -  1810)	1
(3  -  1894)	1
(3  -  1925)	1
(3  -  1992)	1
(3  -  2048)	1
(3  -  2204)	1
(3  -  2344)	1
(3  -  2503)	1
(3  -  2593)	1
(3  -  2689)	1
(3  -  2758)	1
(3  -  2770)	1
(3  -  2809)	1
(3  -  2893)	1
(3  -  3099)	1
(3  -  3146)	1
(3  -  3213)	1
(3  -  3221)	1
(3  -  3224)	1
(3  -  3250)	1
(3  -  3538)	1
(3  -  3550)	1
(3  -  3559)	1
(3  -  3613)	1
(3  -  3691)	1
(3  -  3838)	1
(3  -  4022)	1
(3  -  4106)	1
(3  -  4144)	1
(3  -  4258)	1
(3  -  4310)	1
(3  -  4340)	1
(3  -  4358)	1
(3  -  4439)	1
(3  -  4490)	1
(3  -  4531)	1
(3  -  4589)	1
(3  -  4653)	1
(3  -  4744)	1
(3  -  4823)	1
(3  -  4906)	1
(17  -  28)	1
(17  -  110)	1
(17  -  122)	1
(17  -  209)	1
(17  -  358)	1
(17  -  380)	1
(17  -  435)	1
(17  -  525)	1
(17  -  612)	1
(17  -  648)	1
(17  -  815)	1
(17  -  1153)	1
(17  -  1210)	1
(17  -  1250)	1
(17  -  1377)	1
(17  -  1438)	1
(17  -  1533)	1
(17  -  1621)	1
(17  -  1639)	1
(17  -  1732)	1
(17  -  1986)	1
(17  -  2033)	1
(17  -  2278)	1
(17  -  2414)	1
(17  -  2747)	1
(17  -  2761)	1
(17  -  2818)	1
(17  -  3019)	1
(17  -  3068)	1
(17  -  3153)	1
(17  -  3293)	1
(17  -  3458)	1
(17  -  3485)	1
(17  -  3599)	1
(17  -  3650)	1
(17  -  3675)	1
(17  -  3698)	1
(17  -  3925)	1
(17  -  3932)	1
(17  -  3968)	1
(17  -  3977)	1
(17  -  4097)	1
(17  -  4139)	1
(17  -  4150)	1
(17  -  4295)	1
(17  -  4416)	1
(17  -  4449)	1
(17  -  4526)	1
(28  -  175)	1
(28  -  296)	1
(28  -  475)	1
(28  -  696)	1
(28  -  749)	1
(28  -  844)	1
(28  -  1158)	1
(28  -  1265)	1
(28  -  1404)	1
(28  -  1563)	1
(28  -  1581)	1
(28  -  1605)	1
(28  -  1696)	1
(28  -  1895)	1
(28  -  2030)	1
(28  -  2045)	1
(28  -  2111)	1
(28  -  2366)	1
(28  -  2605)	1
(28  -  2663)	1
(28  -  2874)	1
(28  -  2986)	1
(28  -  3065)	1
(28  -  3132)	1
(28  -  3209)	1
(28  -  3350)	1
(28  -  3557)	1
(28  -  3702)	1
(28  -  3744)	1
(28  -  3840)	1
(28  -  3859)	1
(28  -  3905)	1
(28  -  3948)	1
(28  -  4035)	1
(28  -  4047)	1
(28  -  4377)	1
(28  -  4427)	1
(28  -  4440)	1
(28  -  4503)	1
(28  -  4604)	1
(28  -  4680)	1
(28  -  4708)	1
(28  -  4798)	1
(28  -  4912)	1
(28  -  4958)	1
(28  -  4972)	1
(66  -  138)	1
(66  -  441)	1
(66  -  618)	1
(66  -  641)	1
(66  -  752)	1
(66  -  986)	1
(66  -  1030)	1
(66  -  1132)	1
(66  -  1216)	1
(66  -  1309)	1
(66  -  1320)	1
(66  -  1572)	1
(66  -  1622)	1
(66  -  1782)	1
(66  -  1950)	1
(66  -  2058)	1
(66  -  2203)	1
(66  -  2303)	1
(66  -  2378)	1
(66  -  2532)	1
(66  -  2833)	1
(66  -  3200)	1
(66  -  3283)	1
(66  -  3313)	1
(66  -  3451)	1
(66  -  3609)	1
(66  -  3794)	1
(66  -  3800)	1
(66  -  4055)	1
